repo	stars	lang	fork	archived	readme	license	gitignore	ci	tests	lintcfg	lockfile	manifest	contributing	security	coc	issue_tmpl	pr_tmpl	dependabot	docs_dir	changelog	editorconfig	codeowners	precommit	skills	agent_md	plugins	templates	examples	prompts	schema	mcp	marketplace	hooks	commands
TheCraigHewitt/seomachine	7178	Python	false	false	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1
openai/symphony	25592	Elixir	false	false	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
stablyai/orca	7044	TypeScript	false	false	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0
QwenLM/qwen-code	25501	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1
InternLM/MindSearch	6878	JavaScript	false	false	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
jackwener/OpenCLI	25217	JavaScript	false	false	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1
grab/cursor-talk-to-figma-mcp	6858	JavaScript	false	false	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
gastownhall/beads	24747	Go	false	false	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1
clearml/clearml	6745	Python	false	false	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
esengine/DeepSeek-Reasonix	24512	Go	false	false	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1
stagewise-io/stagewise	6693	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1
Kilo-Org/kilocode	24497	TypeScript	false	false	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
